condition,control_type,dose,seed,enable_meta_monitor,meta_monitor_strength,meta_monitor_noise,meta_monitor_delay,proxy_self_model,proxy_boundary_self,proxy_legacy_self_model,generic_architecture_probe,hard_hidden_agent_perturbation,hard_body_schema_update,hard_meta_monitor_lesion,hard_self_without_lesion,hard_self_with_lesion,detail_hidden_discovery_rate,detail_hidden_response_effectiveness,detail_schema_final_accuracy,detail_schema_update_speed,detail_lesion_drop
delay_4,delay,4.0,20269522,True,1.0,0.0,4,0.9608040922124543,0.9608040922124543,0.962403475495651,0.9597303502799566,0.9882967080552336,0.9895184997841456,0.8112629539422915,0.9791818527064452,0.9372021280154068,1.0,0.9808477373006674,0.9898147872642663,0.9888888888888889,0.5174845963297175
delay_4,delay,4.0,20269523,True,1.0,0.0,4,0.9640303982083808,0.9640303982083808,0.9502102197911834,0.9628156760590487,0.9872505399456295,0.9870779063567999,0.811293406184621,0.9790480407871595,0.9371093821365248,1.0,0.9778586855589412,0.9862256792828757,0.9888888888888889,0.5141803110700839
delay_4,delay,4.0,20269524,True,1.0,0.0,4,0.956606068069158,0.956606068069158,0.8983908690130339,0.963729887098634,0.9903568789665096,0.9875412228097464,0.8125500933534976,0.9805426629582966,0.9385445205570969,1.0,0.9867339399043128,0.9869070270077969,0.9888888888888889,0.5169750417526263
delay_16,delay,16.0,20270521,True,1.0,0.0,16,0.9441793047805566,0.9441793047805566,0.9421123608413979,0.989167627113438,0.0,0.9859782771770722,0.825962044391575,0.6583819680968367,0.7002769871705212,0.0,0.0,0.9885301461754329,0.9805555555555555,0.5173817768802617
delay_16,delay,16.0,20270522,True,1.0,0.0,16,0.964266054066954,0.964266054066954,0.9626734416874623,0.9873245936421758,0.0,0.9862696672834963,0.8321169613616585,0.6578647536418907,0.7014278055718326,0.0,0.0,0.988958661037821,0.9805555555555555,0.5377367818105674
delay_16,delay,16.0,20270523,True,1.0,0.0,16,0.9239722379276974,0.9239722379276974,0.8391984356438527,0.9879940070635329,0.9837885299451098,0.9867487436212576,0.8267616720599227,0.9861770935433002,0.9463232381724558,1.0,0.9965386569860278,0.989663185063941,0.9805555555555555,0.5308757386250571
delay_16,delay,16.0,20270524,True,1.0,0.0,16,0.9545381712891963,0.9545381712891963,0.8914075413966374,0.9871663413888849,0.9934946706397966,0.9871189035777029,0.8197429591882887,0.9892599718687949,0.9468807186986683,1.0,0.9992704875422762,0.9902075379410663,0.9805555555555555,0.5154097913605048
delay_32,delay,32.0,20271521,True,1.0,0.0,32,0.9504456748887151,0.9504456748887151,0.9433190134806554,0.9841089586224151,0.9927152810440656,0.9777566454671387,0.8255115269279534,0.9848602950445398,0.9450231030153932,1.0,0.9970436601259018,0.9764395113078836,0.9805555555555555,0.5210431457740808
delay_32,delay,32.0,20271522,True,1.0,0.0,32,0.9438249555561139,0.9438249555561139,0.9441183599940174,0.9854722316565007,0.20363431490384618,0.9857982350387435,0.8291685012051535,0.72496826053303,0.7510183207010609,0.25,0.2496694711538462,0.9882653783249497,0.9805555555555555,0.5387051641085535
delay_32,delay,32.0,20271523,True,1.0,0.0,32,0.9527227472356469,0.9527227472356469,0.9390089331216406,0.9880136836934833,0.7163486269047357,0.9873074523753856,0.8302859132105169,0.8972232543245348,0.8804889190460303,0.875,0.8654603625849593,0.9904848155847171,0.9805555555555555,0.5369198165693434
delay_32,delay,32.0,20271524,True,1.0,0.0,32,0.9670071149534107,0.9670071149534107,0.9427284315348288,0.9850898850334275,0.9459788571304607,0.9885323951625679,0.8313113639611516,0.9732003791088187,0.9377281253219019,1.0,0.9800288775156022,0.9922862020364561,0.9805555555555555,0.5396693666840782
meta_monitor_off,off,0.0,20272521,False,0.0,0.0,0,0.589091796875,0.589091796875,0.0,0.35219344191975344,0.0,0.11425841571732777,0.3197013394437399,0.15548395254569372,0.19653829927020527,0.0,0.0,0.16802708193724666,0.0,0.0013217853848463967
meta_monitor_off,off,0.0,20272522,False,0.0,0.0,0,0.5801562499999999,0.5801562499999999,0.0,0.326231816797585,0.0,0.07440838970204347,0.30767493171777505,0.13354673549987617,0.1770787845543509,0.0,0.0,0.10942410250300509,0.0,0.0
meta_monitor_off,off,0.0,20272523,False,0.0,0.0,0,0.583232421875,0.583232421875,0.0,0.3486146643303466,0.0,0.11305815147167958,0.3201218016225138,0.1538909386006754,0.195448654356135,0.0,0.0,0.1662619874583523,0.0,0.0
meta_monitor_off,off,0.0,20272524,False,0.0,0.0,0,0.582060546875,0.582060546875,0.0,0.3544441812524142,0.0,0.12540575008972596,0.32607684559110833,0.1599499771140467,0.20148169423331214,0.0,0.0,0.18442022072018516,0.0,0.0
