architecture,condition,seed,proxy_self_model,proxy_agency,independent_self_model,independent_agency,test_boundary_perturbation,test_computational_mirror,test_ownership_attribution,test_intentional_binding,test_error_attribution,test_controllability_preference,test_forced_action_probe,test_architecture_self_probe,proxy_boundary_self,independent_self_core_boundary,proxy_identity_marker_persistence,test_delayed_identity_recognition,proxy_action_attribution,test_forced_choice_ownership,proxy_distributed_body_schema_self,hard_hidden_agent_perturbation,hard_body_schema_update,hard_meta_monitor_lesion,hard_self_without_lesion,enable_workspace,enable_action_loop,condition_set,run_index,meta_monitor_strength,meta_monitor_noise,meta_monitor_delay
distributed,meta_noise_0.6,20275527,0.9112282803956347,0.2968188737172132,0.6794232825627773,0.31517013531397325,0.504207641662771,1.0,0.45,0.14180590404452237,0.022580723620171547,0.22441891355001187,0.8718750000411872,0.7634854885883382,0.9112282803956347,0.631387651798695,0.6799999999999999,0.5,0.8343750000548431,0.998396415036884,0.9112282803956347,0.9437394072231167,0.9853129998295742,0.648726650342797,0.9645262035263454,,,meta-noise,246,1.0,0.6,0.0
distributed,meta_noise_0.6,20275528,0.9276166540417387,0.3180527666651446,0.657264480882584,0.31578055315234477,0.4812120799125774,1.0,0.39166666666666666,0.1748747444389995,0.02129784751478042,0.23882462060844478,0.8281250000471545,0.7561791769510919,0.9276166540417387,0.6223484191346175,0.6753846153846155,0.5,0.7734375000829052,0.9984803193765438,0.9276166540417387,0.9388743391384282,0.9745211884204367,0.6365537581166607,0.9566977637794325,,,meta-noise,247,1.0,0.6,0.0
distributed,meta_noise_0.6,20275529,0.9420449626007533,0.2937850260210184,0.714791927997323,0.2988104409813612,0.47940436207014214,1.0,0.6166666666666667,0.15696161521503377,0.01471524248498254,0.1511690728665957,0.8723958333588328,0.7630966832524835,0.9420449626007533,0.6428052940241952,0.6604185814440648,0.5,0.8192708333812386,0.998252954192799,0.9420449626007533,0.9613227169182312,0.9563993589048151,0.6512813158944784,0.9588610379115232,,,meta-noise,248,1.0,0.6,0.0
distributed,meta_noise_0.6,20275530,0.9403791927608524,0.3564078230514015,0.6523652718979281,0.3347169982152858,0.4630226332932368,1.0,0.375,0.22528710872727467,0.038221658469519484,0.28838005892480834,0.7869791667395405,0.7714384542984757,0.9403791927608524,0.6298499802323569,0.6697649256448106,0.5,0.8614583333732393,0.9984751326761474,0.9403791927608524,0.9435689410382722,0.974799929712725,0.6576694028208604,0.9591844353754986,,,meta-noise,249,1.0,0.6,0.0
distributed,meta_noise_0.6,20275531,0.9199835933752065,0.28195931152533665,0.6818042283538115,0.3495443971951101,0.4996503948849245,1.0,0.4666666666666667,0.2282550422270429,0.04102818920191089,0.3007693572966435,0.828125000054843,0.760899851863655,0.9199835933752065,0.6169160024019872,0.6799999999999999,0.5,0.7989583334005508,0.9983454676695409,0.9199835933752065,0.9621282977561856,0.9673485112748216,0.6496505076239023,0.9647384045155036,,,meta-noise,250,1.0,0.6,0.0
distributed,meta_noise_0.6,20275532,0.9227519179401747,0.3543789236289994,0.6515804914128883,0.32297724971834335,0.4673145863469062,1.0,0.38333333333333336,0.1797811008501984,0.0278852904169787,0.2576801075469782,0.826562500059218,0.7556740459713137,0.9227519179401747,0.5909726615983916,0.6632799530756013,0.5,0.7854166667439154,0.9984116989916582,0.9227519179401747,0.9038539506917764,0.9604698380613166,0.6386744287082656,0.9321618943765465,,,meta-noise,251,1.0,0.6,0.0
distributed,meta_noise_0.6,20275533,0.9318024362371047,0.34160408053609925,0.6814117008234625,0.31296381953605434,0.4818711611824586,1.0,0.48333333333333334,0.23862978855572636,0.016058631603356167,0.17789602458895926,0.8192708333961757,0.760442308778058,0.9318024362371047,0.6320543003866366,0.671025183161863,0.5,0.864062500041718,0.9984560831973485,0.9318024362371047,0.9259609881427018,0.9646922084657725,0.6390180211003735,0.9453265983042372,,,meta-noise,252,1.0,0.6,0.0
distributed,meta_noise_0.6,20275534,0.9388891369715163,0.28746568326768357,0.6716675213137393,0.3389785498867889,0.5012535501939543,1.0,0.43333333333333335,0.2469907735940882,0.03560555601404013,0.26967203652897576,0.8036458334100514,0.7520832017276695,0.9388891369715163,0.6304300145902834,0.660897103492788,0.5,0.8807291666960104,0.9985059884209817,0.9388891369715163,0.9282928380926356,0.9619707358976997,0.6451016576245138,0.9451317869951676,,,meta-noise,253,1.0,0.6,0.0
distributed,meta_noise_0.6,20275535,0.93432640104981,0.2725173881836023,0.7137325615919944,0.3296315299744297,0.5081079600270071,1.0,0.5833333333333334,0.18724875750133857,0.03283531995502997,0.2989628757030909,0.7994791667382591,0.7634889530076369,0.93432640104981,0.6239799386494722,0.6765384615384615,0.5,0.7802083334031136,0.9982839219614514,0.93432640104981,0.9672906109302499,0.9805009744531168,0.6527078868005014,0.9738957926916834,,,meta-noise,254,1.0,0.6,0.0
distributed,meta_noise_0.6,20275536,0.9241061831011019,0.2913574331271767,0.6491606051529609,0.279198260057534,0.4776999931345336,1.0,0.36666666666666664,0.20596379214874944,0.01402986399241067,0.11763271734762348,0.7791666667413526,0.7522757608106435,0.9241061831011019,0.6145142357421314,0.6384477469170795,0.5,0.7510416667701654,0.9986020032906348,0.9241061831011019,0.9242376013078157,0.963982566699924,0.6359359520003606,0.9441100840038699,,,meta-noise,255,1.0,0.6,0.0
distributed,meta_delay_0,20276521,0.9066648839929614,0.4191443605449906,0.7244842197734709,0.31597142824280167,0.45577888827243496,1.0,0.45,0.25328097792936916,0.030736902559413855,0.19445116574235222,0.7854166667400714,0.9921579908214487,0.9066648839929614,0.7526657352204338,0.6610312160110801,0.5,0.8260416667215098,0.9985170601984594,0.9066648839929614,0.9987131855360656,1.0,0.8463645959564903,0.9993565927680328,,,meta-delay,256,1.0,0.0,0.0
